message,harm_type,harm_note
you would all splooge for him to be on your teams,toxic,Crude sexual language directed at chat users
segregation,toxic,Racially charged term used as apparent insult in context of ongoing chat
Jim Crow laws,toxic,Continuation of racially charged references being used as insults
Jim Crow is a famous pornstar born in Minnesota,toxic,Inappropriate joke making light of Jim Crow laws by associating them with pornography
So tempted to make Trent autotail next 2 nrfis,persuasion,Encouraging blind following of bets (autotail) without independent analysis promotes reckless gambling behavior
@tdcorral08_ he's ass,toxic,Crude insult directed at another user or player being discussed.
can i give you a winner or what,persuasion,Attempting to establish credibility to persuade others to follow their betting picks.
u gonna tail,persuasion,"Direct pressure asking if someone will follow their bet, encouraging others to gamble."
3b in high school,,
oneil fucking trolling,toxic,Mild aggressive language directed at another user/person
buccos are cat shit… shocker!,toxic,"Vulgar, derogatory language toward a team."
trent i have 2 winners I need you to tail,persuasion,"Pressuring the streamer to follow their bets, encouraging tailing behavior."
Trent... two bets for you that both win Oilers ML +115 and Purdue TT over 77.5!!! TAIL FOR ONCE,persuasion,Pressuring the streamer to follow their bets with 'TAIL FOR ONCE' creates social pressure to gamble.
yall would splooge to have PCA on your team,toxic,Crude sexual language directed at the chat community.
All in on the Rays today,addiction_normalization,Promoting reckless 'all in' betting behavior normalizes high-risk gambling.
fuck chat,toxic,Hostile dismissal directed at the entire chat community.
lets all take live under,persuasion,Pressuring others to follow a specific bet using inclusive language.
Biev is a cuck,toxic,Direct insult and harassment targeting a specific person.
biev might be the worst intern bookit has had,toxic,Disparaging comment targeting an individual's competence.
I got a prop off y'all need one,persuasion,"Soliciting others to take a betting tip, encouraging gambling behavior."
according to google you have to buy twins tv for 100 bucks to watch this year,,
happ is fucking dog shit,toxic,"Aggressive, vulgar insult directed at a player."
Degen is a piece of 💩,toxic,Direct insult targeting another user or personality.
Fck Skenes,toxic,Aggressive insult directed at a player
bum ass,toxic,Derogatory insult directed at a player
Bo fucking stinks,toxic,Aggressive insult directed at a player using profanity.
butt fuckage,toxic,Crude/vulgar language inappropriate for the context.
lil meat pete,toxic,Crude body-shaming insult directed at a player.
Im gonna kms in gta,toxic,"References self-harm language, even if framed as in-game context, normalizes harmful expressions"
this pirates team is rat piss,toxic,"Crude, vulgar language expressing frustration in a degrading manner"
if you told me mets would have 9 in 5 in a skenes start id kms,toxic,Casual use of self-harm language tied to gambling frustration normalizes harmful expressions
cicago is a shit hole,toxic,"Derogatory comment about a city, mildly toxic language."
cubs r ass,toxic,Vulgar dismissive comment about a team.
"Pirates +3000, nuke it Rav",persuasion,Pressuring streamer to make a high-risk longshot bet.
nuke the CUBS ML,persuasion,Pressuring streamer to bet heavily on an underdog.
I would abuse a possum for a chop rn,toxic,"Joking about animal abuse, inappropriate and toxic humor."
fuckin jolly,toxic,"Mild profanity expressing frustration, low-level toxicity."
White sox has me looking for things to sell around the house,addiction_normalization,"Normalizes gambling losses to the point of needing to sell possessions, which trivializes problem gambling behavior."
Trent sitting out? Im tailing,persuasion,"Implies that fading a streamer is a winning strategy, subtly encouraging others to bet based on social cues rather than analysis."
Trent sitting this one out? everyone lock it in shits gunna be air,persuasion,"Urges everyone to bet with confidence based on streamer sitting out, creating FOMO and peer pressure."
Trent sitting out oh yeah I'm locking that shit in,persuasion,"Reinforces the group mentality that fading the streamer is a sure thing, encouraging impulsive betting."
i feel like if you've bet it the previous years then it's only right you bet it again. if not then don't jump on the train now,persuasion,"Pressures viewers to continue betting habits based on past behavior, framing it as an obligation."
trent shut the fuck up,toxic,Direct aggressive insult toward the streamer.
You can easily win 2k today,persuasion,"Creates false confidence about easy winnings, encouraging reckless betting behavior."
terrible fucking vibes,toxic,Aggressive negativity contributing to hostile chat environment.
no one feels sorry for you tubby,toxic,Body-shaming insult directed at the streamer using the term 'tubby'.
parlaying all the 415 nrfis in memory of former gambler Trent Attyah,addiction_normalization,Joking about someone being a 'former gambler' normalizes gambling addiction and makes light of problem gambling.
dp biev get fucked,toxic,Vulgar hostile comment directed at another user.
when did trent become such a cry baby bitch?,toxic,Direct insult and harassment toward the streamer using vulgar language
"Trent lock in gang you were up fat regression is always due, hit some afternoon wagers",persuasion,Pressuring others to continue betting after losses with false logic about 'regression being due' and urging more wagers
Bregmsn is such a loser,toxic,Insulting a player in a derogatory manner
PCA is such a loser,toxic,Insulting a player in a derogatory manner
Rodgers is ass man,toxic,Crude insult directed at a player.
maybe the biggest pussy ever,toxic,Vulgar insult directed at the streamer.
bro gets paid to gamble and is crying over 2k,toxic,"Mocking the streamer for emotional reaction to gambling losses, normalizing dismissiveness toward financial loss."
bin his a$$,toxic,"Aggressive call to ban someone, crude language."
@DaRafyMF Gunnar so shit,toxic,Insulting a player using crude language
@301_chaco same MD pisses me off with that shit,toxic,Aggressive language expressing frustration about state betting restrictions
put Pivetta down,toxic,Violent metaphor suggesting harm to a player for poor performance.
old yeller pivetta,toxic,"Reference to putting down a dog, implying the player should be 'put down' for poor performance."
fuck the cubs man,toxic,Mild profanity expressing frustration toward a team.
mfers can't even cover a +3.5 on opening day at home. have some heart,toxic,"Profane frustration directed at a team for not covering a spread, normalizing betting expectations."
i am going to tail,persuasion,Announcing intent to tail bets can encourage others to follow without independent analysis.
the cubs= scum on the bottom of my shoe,toxic,Derogatory insult comparing a team/fanbase to scum
don't let Rav off the hook 🪝 he's a straight fade now too,toxic,Encouraging others to target/mock another user for their betting losses
fuck brand risk,toxic,Aggressive profanity directed at another person
Trent is a puss,toxic,Direct insult targeting the streamer.
man fuck Trent,toxic,"Aggressive, hostile comment directed at the streamer."
tired of babying him when he has life on ez mode,toxic,Dismissive and mocking comment about the streamer's lifestyle.
I hope Brad Lord is selling trees by Christmas after this inning,toxic,Expressing hostile wish for someone to lose their job/livelihood
He sucks so bad,toxic,Insulting/degrading comment about a person
jim crow armstrong is insane,toxic,Using a racist historical reference (Jim Crow) as a nickname/insult
he's terrible,toxic,Insulting comment about a person
Nico goes yard here I'll splooge,toxic,Crude sexual language in public chat
you like cottage cheese so your opinion is irrelevant Biev,toxic,Dismissive personal attack invalidating someone's opinion based on unrelated food preference.
he's tryna get the train ran on her,toxic,Sexual/crude comment objectifying women
Effel Towers with Rav,toxic,Crude sexual reference
muckin clam?,toxic,Vulgar sexual slang
does rav muck clam ?,toxic,Repeated vulgar sexual slang
I think we listen to the black man on this one chat 🐐,toxic,Racially charged comment singling out race
Gunnar trash,toxic,Insulting/disparaging a player
you gonna muck some clam Trent,toxic,Vulgar sexual comment directed at streamer
chick is about to see Trent down -$5000,addiction_normalization,Casually normalizing significant gambling losses as entertainment
3 way loading,toxic,Sexual innuendo
slap some meats rav,toxic,Crude sexual innuendo
Trent you better buck up if you wanna get some.  Debbie Downers get no ass,toxic,"Crude, mildly aggressive comment pressuring someone about their attitude with sexual undertones."
"""is this the guy who wanted to lick Skenes discharge?""",toxic,"Crude, sexually explicit and degrading reference targeting another user or person."
nice sloppy blowie,toxic,Explicit sexual comment inappropriate for a public chat environment.
Trent can't hang with a girl by himself cmon,toxic,Mocking and belittling another person's social abilities.
i hate Caleb Durbin,toxic,"Expressing hatred toward a specific player, mildly toxic language."
Conforto sucks Krabs,toxic,Disparaging a player with crude language in an aggressive tone.
guy is a total fade,toxic,Dismissive insult toward another person in the chat community.
dude is 30+ crying about another grown man,toxic,Mocking and belittling another user/streamer for their emotional reaction
nobody feels bad for you you fix,toxic,Dismissive and insulting comment directed at another person
ur fucking lying,toxic,Aggressive accusation with profanity
what an idiot,toxic,Insulting language directed at someone
Brain dead,toxic,Insulting someone's intelligence
I HOPE YOUR FAMILY GOES 0/4 IN THEIR LINEUP!!!!!!!,toxic,"Aggressive message directed at someone's family, though framed in baseball terms it mimics hostile rhetoric."
I hope your family... was convinced the next words were gonna be crash and burn to the ground,toxic,"References expecting violent/harmful wishes toward someone's family, normalizing toxic discourse."
trent finally gets pussy for the first time in 7 years and he thinks he's the man..,toxic,"Crude, demeaning comment mocking another user's personal/sexual life."
your down 2k bud,toxic,"Mocking someone for gambling losses, which can normalize addiction and shame bettors."
yeah fuck mlb,toxic,Aggressive/profane expression of frustration toward the league.
yo trent joe pyfer +140 is a 5U whale for UFC tmr,persuasion,Pressuring streamer to place a large bet (5 units) with confident language suggesting certainty.
@abxzm wylin it's Izzy at +110 that's the nuke,persuasion,Using hyperbolic language ('nuke') to pressure others toward a specific bet as a sure thing.
hope you enjoy your whataburger pancakes tubby,toxic,Body-shaming insult directed at the streamer calling them 'tubby'.
you should leave now so you have time to pick up some crumbl,toxic,"Sarcastic insult implying the streamer overeats, mocking their weight."
And there goes my beat the streak,,
lot insider value. get ready to cash,persuasion,Creates urgency and hype around betting with promises of 'insider value' and guaranteed wins.
I am trying to learn how to arb bet. I just started betting last year.,addiction_normalization,"New bettor seeking to escalate involvement, normalizing progression into more complex betting strategies."
bet bro yes,persuasion,Direct peer pressure encouraging another user to place a bet.
"Check out my DraftKings Pick6 Entry! https://pick6.draftkings.com?sport=CBB&pickGroup=144299&picks=82168021,82273427,82294355&entrySource=shareLink",persuasion,Promoting specific betting entries with direct links to encourage others to follow their bets.
Sharing is caring so here's an entry I placed on Dabble that you can copy!👌🥰💥🤞 https://click.dabble.com/ugiS/ebw4jhtx,persuasion,Uses friendly social pressure ('sharing is caring') to persuade others to copy their bet.
Yay!! More BostonNews Network!! Much Love! Fuck Boston!,toxic,Contains profanity directed at a city/team in an aggressive manner.
it's a fantastic day to bet on sports,addiction_normalization,"Normalizes daily gambling as a positive, routine activity."
keep your shitty popcorn,toxic,Mildly aggressive dismissive language toward content/streamer
since when are we financially responsible here,addiction_normalization,Normalizes financial irresponsibility in gambling context
take one look at Shags and you know he don't want protein,toxic,Body-shaming or mocking comment directed at streamer
the brisket brownie will be the cause of Shaggy's first heart attack,toxic,Mocking streamer's health/weight in a hostile manner
put my mortgage on illinois? gotchu PH,addiction_normalization,Joking about betting one's mortgage normalizes reckless high-stakes gambling
im ready to cut it longways,toxic,"References self-harm in response to a gambling loss, normalizing destructive reactions to betting outcomes."
im ancient,,
I was born in 87,,
I was born in 1886,,
I was born 1285,,
I just had a college class today,,
isn't that the gym that gives out free pizza to fat asses??,toxic,Body-shaming language using derogatory term
u know that room smells like balls and ass,toxic,"Crude, vulgar comment intended to be offensive"
hedging is for gardeners,addiction_normalization,Discourages responsible betting strategy (hedging) and promotes reckless gambling behavior
"down like 6k, also sucks that I play $200 on Alex's plays, normal unit size is $50 lol. so many went 2 out of 3",addiction_normalization,"Casually mentions being down $6,000 and betting 4x normal unit size, normalizing significant gambling losses."
it's just a bad run I've gone up and down multiple k several times on pk6,addiction_normalization,"Dismisses large financial swings of multiple thousands as normal, normalizing high-risk gambling behavior."
Sounds like you are a pussy Jeff,toxic,Direct insult/harassment toward the streamer Jeff
Fuck Greg,toxic,Vulgar hostile message directed at Greg
Jim Crow Armstrong is some hideously nasty work,toxic,Racially charged reference (Jim Crow) used as an insult
"Alec Baldwin said ""hand down man down"" and fired that bitch",toxic,Crude joke making light of a fatal shooting incident
@joelcp_ keep crying brother,toxic,"Dismissive, mocking response to another user"
@thanecreager guarantee you don't have a college degree,toxic,Insulting another user's intelligence/education level as a personal attack
you're such a bitch,toxic,Direct insult and harassment toward another user or streamer
thank me later,persuasion,Implies certainty in betting outcome to pressure others into following the pick.
Public please keep betting Mich st🙏🏾🙏🏾🙏🏾,persuasion,"Encouraging the public to bet on a specific team, implying they are fading public money for profit."
Schlitter F*cks,toxic,"Crude/vulgar expression, low-level inappropriate language."
Krabs always says you have to be uncomfortable placing a bet,addiction_normalization,"Normalizes discomfort/risk-taking as an expected part of betting, which can encourage reckless behavior."
I've prob lost 3k tailing these streams. sticking with it tho. pick6 has been the worst,addiction_normalization,"Normalizes chasing losses and continuing to gamble despite significant financial loss ($3k), which is a hallmark of problem gambling behavior."
due for a win,addiction_normalization,"Promotes gambler's fallacy thinking that losses mean a win is 'due', which normalizes problematic betting logic."
lock in boys,persuasion,Peer pressure language encouraging group participation in betting.
Use code BOOKIT at sign up!,persuasion,Promotional message encouraging viewers to sign up for betting platform.
real goats are here for the Diamond,persuasion,"Peer pressure implying 'real' fans participate in betting activities, creating FOMO."
Young talent splooging all over the country,toxic,Crude sexual language that creates a vulgar/inappropriate atmosphere in chat.
love the young talent.. no diddy,toxic,"Reference to sexual abuse allegations used as casual joke, normalizing inappropriate content."
no biggie. I never win figured it was right 💀💀,addiction_normalization,"Normalizes consistent losing as acceptable, which can reinforce unhealthy gambling patterns."
rick pitino I take em to strip clubs and casinos,addiction_normalization,"Casually references taking people to casinos alongside strip clubs, normalizing gambling as a vice activity"
I paid opening day ticket prices sat in 30 degree rain with no jacket to have Cade Cavalli bend me over and shove his rod in my stomach,toxic,Crude sexual imagery that is inappropriate and vulgar in a public chat context.
I paid opening day ticket prices sat in 30 degree rain with no jacket to have Cade Cavalli bend me over and shove his rod in my stomach #fuckKrabs #ratitude,toxic,Repeated crude sexual imagery combined with hostile hashtags directed at the streamer.
how are you sharp if you're able to put 100 on a slip on PP lmao,toxic,Mocking/questioning the streamer's credibility in a condescending manner.
10/4 preciate you krabs,,
chances are if u had the best record u might have had a streak. ur gonna get paid fat,persuasion,Emphasizes potential large payouts to encourage participation in betting contest.
me guy move if you aren't joining,persuasion,Peer pressure implying non-participants are making a mistake or aren't smart.
w beat the streak got all my roommates to make an acc,persuasion,Encouraging others to sign up for betting platform through social recruitment.
Ive never seen you lose a wager locky. Get involved,persuasion,Pressuring user to bet by flattering their record and urging them to 'get involved'
If you aren't doing it you hate free money,persuasion,Uses guilt/FOMO tactic to pressure others into betting by framing non-participation as irrational.
"90% yap, 8% plays, 1% wins",toxic,Mocking/disparaging comment directed at the streamer's content and betting success rate.
good lord I hate these guys,toxic,"Expresses hatred toward the streamers, mild hostility."
is Trent is a better mood today? bro was crying yesterday,toxic,Mocking the streamer for emotional distress related to betting losses.
"""wah im never tailing Biev again wahhh""",toxic,"Mocking users who expressed frustration after losing bets, dismissive of gambling losses."
shit wagers,toxic,Dismissive insult directed at streamer's betting choices
IM READY TO MAKE AN EASY $1000 AGAIN😈,addiction_normalization,Promotes unrealistic expectation that gambling is easy money
terrible read,toxic,Dismissive criticism of streamer's analysis
ROCKETS SHIT WAGER,toxic,Aggressive insult toward betting pick
DON'T MISS OUT ON TONIGHT'S NBA MEGA PARLAY ✅,persuasion,FOMO-based persuasion attempt to encourage betting
dudes bets stink,toxic,Insult directed at streamer's betting ability
cant be shit,toxic,Continued toxic criticism
when hes shit,toxic,Repeated insulting language toward streamer
just bet more,persuasion,Encourages reckless gambling behavior by suggesting betting more money as a solution.
wanted to kill myself,addiction_normalization,"Casually references suicidal ideation in context of gambling losses, normalizing extreme emotional harm from betting."
holes in wall,addiction_normalization,"References destructive behavior (punching walls) due to gambling, normalizing harmful reactions to losses."
Biev you doin numbers on that 28 year old 😂😂😂,toxic,Suggestive comment about a person's age in a potentially inappropriate or objectifying context.
Trent gets called flabby tits so,toxic,Body-shaming insult directed at streamer.
lady boy,toxic,Derogatory slur that is transphobic and offensive.
than u shit the bed,toxic,Crude insult directed at another user or streamer
mariners ruined my fucking night,addiction_normalization,Normalizes emotional distress tied to gambling outcomes
when the fuck do these cleaners and cooks get on the court biev i nuked?,addiction_normalization,Casually references 'nuking' (heavy betting/losing) normalizing reckless gambling
ill never tail Biev again,toxic,Passive-aggressive blame toward streamer for betting losses
legit never again,toxic,Continuation of hostile blame toward streamer
LETS RIDE I NUKED,addiction_normalization,Celebrates or normalizes 'nuking' (heavy betting) as exciting behavior
fuck notre dame,toxic,Profane outburst expressing hostility toward a team.
going viral for being a p.o.s. keep it up beiv,toxic,"Direct insult calling the streamer a 'piece of shit' in a sarcastic, hostile manner."
calling a 20 year old 28 is suspension worthy,,
When this goes 3/3 I'll send someone $100 😼🚀,persuasion,Creates FOMO and incentivizes engagement with gambling picks by promising monetary reward.
What a loser,toxic,Direct insult targeting another person
How dare they say that about your step mom you used to jack off to,toxic,Sexually explicit and crude comment meant to provoke or harass
thats a girl suitcase,toxic,Gendered insult mocking someone's choice of luggage.
She was busy getting pounded,toxic,"Crude, sexually degrading comment about a woman."
Bitch no she didnt lol,toxic,"Uses misogynistic slur in a dismissive, hostile manner."
Rav that girl sucks dont talk to her,toxic,"Disparaging comment about a woman the streamer is talking to, attempting to influence his personal relationships negatively."
TAKE OFF THE FUCKING HELMET,toxic,Aggressive all-caps message with profanity directed at the streamer.
DOWN UNITS WEARING A FUCKING RAWLINGS!!!!!!,toxic,"Aggressive, mocking comment about the streamer being down on bets while criticizing their appearance."
go ahead say tard you fucking ass hat,toxic,"Direct insult and profanity aimed at another user or the streamer, hostile and aggressive language."
TAKE OFF THE HELMET,toxic,Repeated aggressive demand directed at the streamer in all caps.
you got fucked. that was gonna be 40 ft for sure,toxic,Crude language expressing frustration about a betting outcome
coochie on the mound,toxic,Crude/vulgar language inappropriate for the context
Nah who was saying Henious shit,toxic,Mild profanity/crude language in chat
blue jays -1.5 cash it in,persuasion,Urging others to place a specific bet with confident language suggesting guaranteed win
Take Vandy live chat.  You will get better odds,persuasion,Directly instructing chat to place a bet with promise of better value
he's trash,toxic,Dismissive insult directed at a person being discussed
lick me,toxic,"Crude, inappropriate comment directed at others in chat."
I'm a top 1% krabs hater,toxic,Openly declaring animosity toward another chat member.
"rav just a nice kid, bievs a dickhead so it's easier",toxic,Insults streamer/personality by calling them a 'dickhead'
@Deejay1029_ The chick who ghosted him last night,toxic,Mocking/making fun of streamer's personal life in a disrespectful manner
FAWK RONE 🐍,toxic,Hostile language directed at a person (likely streamer or personality) with snake emoji implying betrayal.
coked up surely,toxic,"Accusing someone of cocaine use without evidence, potentially defamatory."
They gotta be addied up,addiction_normalization,"Casually suggesting stimulant drug use (Adderall), normalizing substance abuse."
coked out,toxic,Casual drug reference that normalizes substance use in gambling context.
dont be dumb,toxic,Insulting another user's intelligence for their betting decision.
fading Hawks will leave you in the urinals,persuasion,Pressuring others not to fade a team by implying negative consequences.
Biev what the fuck did we just bet on? Women's basketball is such a hard watch.,toxic,Dismissive and derogatory comment toward women's basketball.
we're still doing the women sports shit?,toxic,Dismissive and derogatory comment about women's sports.
women sports is dog  shit,toxic,Explicitly insulting and demeaning women's sports.
all shit,toxic,Continuation of derogatory comments about women's sports.
trent whats the lock. im in meerkat jizzz from mariners,toxic,Contains crude/vulgar language in the chat.
Biev keep watching and take them ML live,persuasion,"Directing streamer to take a specific live bet, encouraging impulsive betting behavior"
Biev and trent and dumb haha,toxic,Insulting streamers by calling them dumb
fuck that,toxic,Aggressive/hostile language in chat
how are we not tailing plays across the board man,persuasion,"Implying everyone should be tailing all bets, normalizing aggressive betting behavior"
just bet the Celtics biev,persuasion,Pressuring streamer to place a specific bet.
he doesnt wanna tail because he knows ur bets stink,toxic,Insulting another user's betting ability in a mocking way.
if trent shows slip biev should be forced to tail that,persuasion,"Pressuring streamer to be 'forced' to place a bet, removing autonomy."
biev tail pads ML,persuasion,Pressuring streamer to tail a specific bet.
rav is not good at betting,toxic,Insulting a streamer's betting ability.
thank god rav is single,toxic,Personal attack on streamer's relationship status unrelated to content.
be a team player Biev,persuasion,Peer pressure tactic to get streamer to place a bet against their judgment.
NBA is actual AIDS,toxic,"Using a disease as a derogatory term, offensive language."
biev is the worse book it hire,toxic,Insulting the streamer as the worst hire.
Oh nah that's a shit wager,toxic,Disparaging another user's betting decision
betting on women's bball over nba is such a cuck move,toxic,Sexist insult mocking those who bet on women's basketball
"Biev stop betting on bitch ball man, these women cant play hoops at any level",toxic,Sexist and derogatory language targeting women's basketball
Betting on women's college is ridiculous,toxic,Dismissive and mocking attitude toward women's sports betting
biev is the biggest pussy,toxic,Direct insult and harassment toward another user
Looool called him gay,toxic,"Using 'gay' as an insult, homophobic undertone"
trent your a tubby,toxic,Body-shaming insult directed at streamer.
tail each others plays stop being pussy,persuasion,Uses peer pressure and gendered insult to pressure others into tailing bets.
Shady leave,,
i feel like im watching the special Olympics rn,toxic,Ableist comment mocking people with disabilities.
Gav eats rocks,toxic,Childish insult targeting another user.
BIEV BIEV BIEV HIT A FUCCIN SLIP,toxic,Aggressive harassment pressuring user about betting performance.
ladyboy leans 😂,toxic,Derogatory slur used to mock or insult another person.
lady boy leans 💀💀💀,toxic,Derogatory slur used to mock or insult another person.
lady boy leans,toxic,Derogatory slur used to mock or insult another person.
Biev has no heart and no fog,toxic,Personal attack insulting the streamer's character.
He got mad at rav,,
Zero heart,toxic,Personal attack insulting the streamer's character.
so soft,toxic,Insulting remark directed at streamer.
get him off payroll now,toxic,Hostile demand to fire/remove someone.
Free yourself Biev….. hang it up,toxic,Dismissive and demeaning comment telling someone to quit.
FIRED *Vince mcmahon voice*,,
SHUT THE FUCK UP RAV,toxic,Aggressive outburst directed at another user
Send me link I'll shit on Biev till he gets back,toxic,Expressing intent to verbally attack/harass another user (Biev)
Josh is that play actually hitting ? I'm bouta nuke it,addiction_normalization,"Using 'nuke it' implies placing a recklessly large bet based on someone else's pick, normalizing impulsive high-risk gambling"
Jeff about to fuck biev up,toxic,Aggressive language suggesting violence toward another person
he looked dumb here today. calling rav lady boy leans. and rav gives him a play and he doesn't bet it,toxic,Uses slur 'lady boy' which is derogatory toward transgender individuals
he looked dumb here today. calling rav lady boy leans. and rav gives him a play and he doesn't bet it!!!!!,toxic,Repeated use of derogatory slur 'lady boy'
Biev just got pissed on,toxic,"Crude, demeaning language directed at streamer"
BRO FUCK THIS APP,toxic,Aggressive outburst expressing frustration with profanity.
Crybaby bitch telling me to not be a bitch,toxic,Insulting language directed at another person in the chat.
Lady boy leans,toxic,Derogatory slur with transphobic connotations.
bitch I'm lil baby,toxic,Casual use of profanity contributing to hostile chat environment.
Trent being bitching is a feature not a bug,toxic,Mocking and insulting the streamer.
lifes a bitch then you die,toxic,Nihilistic statement that could normalize defeatist attitudes around gambling losses.
one big bitch fest today,toxic,Dismissive comment contributing to negative chat atmosphere.
if Duke covers im gonna be so horny en,toxic,Sexually explicit language in public chat
bet on players that play their former team. it works,persuasion,Directly instructing others to bet with an oversimplified strategy presented as guaranteed success.
does lesbian leans like the thunder tonight,toxic,Uses a slur-adjacent derogatory term to refer to another user or personality.
WHAT THE FUCK JOSH,toxic,"Aggressive outburst directed at another person, though mild in context."
Where the fuck is @shadybiev,toxic,"Mildly aggressive language, though directed casually rather than with intent to harm."
@jjmiles5 Steak don't know shit,toxic,Dismissive insult directed at another person's knowledge/credibility
shut the fuck up man,toxic,Aggressive hostile response directed at another chat participant
shut it,toxic,Dismissive aggressive command to silence another user
Tiger woods driving bared out again,toxic,Mocking someone's alleged substance abuse issues related to a car accident
n word possibility there,toxic,Speculating about racial slur usage in a casual/normalizing manner.
100% was ripping n word,toxic,Casually discussing/normalizing racial slur usage.
"pick a NOD for all sports, its friday fuck itttt",persuasion,Encouraging impulsive betting across all sports with reckless 'fuck it' mentality.
VOTE ON THE POLL,persuasion,All-caps urgency attempting to pressure chat into action
guy on the right definitely is on the slopes,toxic,"Accusing streamer of cocaine use, which is harassment"
THE A'S ARE A LOCK,persuasion,Framing a bet as a guaranteed winner ('lock') promotes reckless gambling
fuck Donald,toxic,Unprompted profane insult directed at an individual.
rather play it and it misses than not play and it hits,addiction_normalization,"Promotes FOMO-driven betting mentality, encouraging action over restraint."
fuck pp. awful limits,toxic,Profanity expressing frustration toward a betting platform
@abizney he could lose half his limbs and im still putting money on him at the masters,addiction_normalization,Normalizes reckless gambling behavior by expressing willingness to bet regardless of extreme circumstances
Don't be a coward dude,persuasion,Using shame/peer pressure ('coward') to pressure someone into betting.
Hair of the dog V...time to man up,persuasion,Using masculinity-based peer pressure ('man up') to encourage continued betting after losses.
v has no gag reflex,toxic,Sexual/crude comment directed at the streamer.
at least all your buttons are done up dweeb,toxic,Minor insult ('dweeb') directed at another user.
"Sorry Im late, Much Love yall!! Fuck Boston!",toxic,Profane hostile comment directed at a team/fanbase
Sukh not betting on the Celtics??? Hes on whatever Tiger's on,toxic,Makes a crude joke referencing Tiger Woods' substance abuse issues
v just got drunk again talking celtics,toxic,Mocking accusation that the streamer is intoxicated
Sukh i wanna see you shotgun a beer,persuasion,Pressuring streamer to engage in binge drinking behavior on stream
Bless me FanDuel please… account email dumasantonn@***,addiction_normalization,"Begging a sportsbook for blessing suggests desperation and unhealthy gambling relationship, sharing account email publicly."
anyone want a Hitter. Lock in Joker 🃏 1H TD on FanDuel +2700 he been 1 short the last 2 games and will smack it against the Jazz!!,persuasion,"Promoting a specific bet as a 'lock' and pressuring others to place it, using false certainty language."
Flip your FD Bonus bets you won here !! lol,persuasion,Encouraging others to immediately reinvest winnings into more bets rather than cashing out.
yeah when my high school friend played at washington from 2004-2008,,
as im old and have that marvelous medicare lol they always have more tests for me lol,,
you have 10 min to lock in Joker 1H Triple Double… don't sleep on it. odds dropped to +2200,persuasion,Creates urgency and FOMO by emphasizing limited time and dropping odds to pressure others to bet.
I'm so trashed 😭,addiction_normalization,"Normalizes being heavily intoxicated while engaging with gambling content, associating excessive drinking with sports betting."
I'm rooting for Michigan I can't stand those cousin bangers in bama,toxic,Derogatory stereotype/insult directed at Alabama residents
If it makes you feel better my last date was with a girl 5 years younger than me (I am 32) and never felt more disconnected with someone in my life lol,,
"fat guy, in the middle",toxic,Body-shaming comment referring to someone as 'fat guy'.
whole bunch of ADHD kids that grew up never getting told no sitting together in a room,toxic,Mocking comment stigmatizing ADHD and insulting the people in the stream.
Who is the clown in the Duke shirt?,toxic,Insulting someone by calling them a 'clown'.
fuk duke,toxic,Mild profanity expressing hostility toward a team
shut up meek,toxic,Dismissive and rude comment directed at a person
meek sux how does he get renewed,toxic,Insulting and disparaging a specific person
so a bunch of guys sucking Dave's dick,toxic,Crude and vulgar comment mocking others
go back to loserville,toxic,Insulting another user with a dismissive taunt
just not the kind of ryde u think,toxic,Sexual innuendo used to mock another user
Michigan getting jewed out there,toxic,Antisemitic slur used casually
@christianreactz over under 2 months Rico kills Nadu,toxic,Joking about violence toward a person
"fuck the duke guy ""always against us""",toxic,Profanity-laden hostility directed at another person in the stream.
@fedex_ground_driver your an idiot hy the way,toxic,Direct insult and name-calling toward another user.
Fake ass tough guy lmao,toxic,Insulting and mocking another person as a 'fake tough guy'.
Rico please quit on stream,toxic,Pressuring/taunting someone to quit publicly on stream.
rico please bro wtf were u thinking u greedy mf,toxic,Aggressive insult calling someone a 'greedy mf'.
Rico put that down u aint gon do shit,toxic,Taunting and dismissive aggression toward another person.
rico ur not cool bro lmfao,toxic,Mocking insult directed at a specific person.
THROW IT AT HIM RICO,toxic,Inciting physical violence or aggression.
Rico is the definition of a CORNBALL LMFAO im crying,toxic,Mocking and insulting someone publicly.
Rico fight him,toxic,Inciting physical violence.
Rico throw hands rn,toxic,Inciting immediate physical violence.
he's a cuck,toxic,Derogatory insult directed at a person.
Rico beat his ass,toxic,Inciting physical violence.
DAVE COOK HIS ASS,toxic,Encouraging aggressive confrontation or verbal attack.
Rico kind of guy who thinks hes tough cause he can get mad n loud,toxic,Mocking and insulting a streamer's personality/behavior
I only followed to comment. Time u unfollow to zio propagandist,toxic,Using antisemitic slur ('zio') as an insult toward the streamer
rico said to do the first podcast on fathers day cause of nadus dead dad i think,toxic,Referencing a cruel comment mocking someone's deceased father
adam silver is limp af,toxic,Mildly insulting/derogatory language directed at NBA commissioner.
I got Tiger Woods O1.5 DUIs,toxic,"Making light of DUI incidents, which trivializes dangerous and illegal behavior"
Stacey means he's serious everyone lock in. we crushing violence tonight 🔥,persuasion,Pressuring others to bet with 'everyone lock in' creates group pressure and urgency.
Let's get this money today!,persuasion,Promotes gambling excitement and frames betting as easy money-making.
Everyone i am three wins away from splitting a milly in the tourney.  Send vibes to illinois tonight,addiction_normalization,Highlights potential big winnings which can normalize chasing large gambling payouts.
